hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
4.7.1.0,beta barrels,SH3,RNase P subunit p29,RNase P subunit p29,NO_F_NAME
1075.3.1.0,alpha bundles,Type II ABC exporter transmembrane domain fold,Type I ABC importer transmembrane domain fold,Type I ABC importer transmembrane domain fold,NO_F_NAME
2.12.1.0,beta barrels,OB-fold,BC4932-like,BC4932-like,NO_F_NAME
3457.1.1.0,alpha bundles,GxGD membrane protease,GxGD membrane protease,GxGD membrane protease,NO_F_NAME
3882.1.1.0,alpha bundles,Atg17,Atg17,Atg17,NO_F_NAME
10.29.1.0,beta sandwiches,jelly-roll,Jelly-roll domain in distal tail protein (Dit)-like proteins,Jelly-roll domain in distal tail protein (Dit)-like proteins,NO_F_NAME
822.3.1.0,a+b two layers,GYF/BRK domain-like,conserved domain protein SP_1775,conserved domain protein SP_1775,NO_F_NAME
298.4.1.0,a+b two layers,FwdE/GAPDH domain-like,V-type ATPase subunit E,V-type ATPase subunit E,NO_F_NAME
243.8.1.0,a+b two layers,Cystatin-like,Uracil-DNA glycosylase inhibitor protein,Uracil-DNA glycosylase inhibitor protein,NO_F_NAME
6161.1.1.0,a+b two layers,Uncharacterized virus protein A-100,Uncharacterized virus protein A-100,Uncharacterized virus protein A-100,NO_F_NAME
611.12.1.0,alpha bundles,N-cbl like,Izumo sperm-egg fusion protein 1 N-terminal domain,Izumo sperm-egg fusion protein 1 N-terminal domain,NO_F_NAME
4224.1.1.0,few secondary structure elements,CHY zinc finger,CHY zinc finger,CHY zinc finger,NO_F_NAME
6127.1.1.0,beta meanders,Beta meander domain in PfEMP1 protein,Beta meander domain in PfEMP1 protein,Beta meander domain in PfEMP1 protein,NO_F_NAME
4.18.1.0,beta barrels,SH3,Plus3,Plus3,NO_F_NAME
636.1.1.0,alpha arrays,SopE-like GEF domain,SopE-like GEF domain,SopE-like GEF domain,NO_F_NAME
192.12.1.0,alpha bundles,Long alpha-hairpin,Transcriptional repressor TraM,Transcriptional repressor TraM,NO_F_NAME
3735.1.1.0,beta meanders,Rearrangement hotspot (RHS) repeats protein,Rearrangement hotspot (RHS) repeats protein,Rearrangement hotspot (RHS) repeats protein,NO_F_NAME
633.5.1.0,alpha bundles,Bromodomain-like,LemA-like,LemA-like,NO_F_NAME
822.2.1.0,a+b two layers,GYF/BRK domain-like,BRK domain-like,BRK domain-like,NO_F_NAME
7593.1.1.0,a/b three-layered sandwiches,Peroxisome assembly protein 22,Peroxisome assembly protein 22,Peroxisome assembly protein 22,NO_F_NAME
4126.1.1.0,a/b three-layered sandwiches,beta-carbonic anhydrase-like,beta-carbonic anhydrase,beta-carbonic anhydrase,NO_F_NAME
3594.1.1.0,alpha bundles,Oncogenic effector CagA domain III,Oncogenic effector CagA domain III,Oncogenic effector CagA domain III,NO_F_NAME
3417.1.1.0,a+b three layers,Surfactant protein C BRICHOS domain,Surfactant protein C BRICHOS domain,Surfactant protein C BRICHOS domain,NO_F_NAME
101.21.1.0,alpha arrays,HTH,HTH domain in DNA topoisomerase IV alpha subunit,HTH domain in DNA topoisomerase IV alpha subunit,NO_F_NAME
586.1.1.0,extended segments,Stathmin,Stathmin,Stathmin,NO_F_NAME
3892.1.1.0,alpha bundles,Transhydrogeanse domain II,Transhydrogeanse domain II,Transhydrogeanse domain II,NO_F_NAME
6153.1.1.0,alpha arrays,C-terminal domain of Hit1,C-terminal domain of Hit1,C-terminal domain of Hit1,NO_F_NAME
70.1.1.0,beta barrels,beta-clip,MoeA C-terminal domain-like,MoeA C-terminal domain-like,NO_F_NAME
3186.1.1.0,a+b two layers,C-terminal domain of FliK,C-terminal domain of FliK,C-terminal domain of FliK,NO_F_NAME
109.38.1.0,alpha superhelices,Repetitive alpha hairpins,Telomere length regulation protein TEL2,Telomere length regulation protein TEL2,NO_F_NAME
109.5.1.0,alpha superhelices,Repetitive alpha hairpins,"adenylylcyclase associated protein, CAP-N","adenylylcyclase associated protein, CAP-N",NO_F_NAME
4049.1.1.0,alpha superhelices,alpha-helical domain in siroheme synthase middle domains-like,alpha-helical domain in siroheme synthase middle domains-like,alpha-helical domain in siroheme synthase middle domains-like,NO_F_NAME
11.16.1.0,beta sandwiches,Immunoglobulin-like beta-sandwich,N-terminal domain in A1 cistron-splicing factor AAR2,N-terminal domain in A1 cistron-splicing factor AAR2,NO_F_NAME
103.9.1.0,alpha arrays,RuvA-C,RanGAP2 N-terminal domain,RanGAP2 N-terminal domain,NO_F_NAME
581.1.1.0,extended segments,Fe-only hydrogenase smaller subunit,Fe-only hydrogenase smaller subunit,Fe-only hydrogenase smaller subunit,NO_F_NAME
3716.1.1.0,alpha arrays,DUF3349,DUF3349,DUF3349,NO_F_NAME
3928.1.1.0,alpha bundles,Cell division protein CrgA,Cell division protein CrgA,Cell division protein CrgA,NO_F_NAME
3327.1.1.0,alpha bundles,HET-S N-terminal domain,HET-S N-terminal domain,HET-S N-terminal domain,NO_F_NAME
377.4.1.0,few secondary structure elements,Glucocorticoid receptor-like,YlxR-like,YlxR-like,NO_F_NAME
4221.1.1.0,a+b two layers,YkuJ-like,YkuJ-like,YkuJ-like,NO_F_NAME
243.18.1.0,a+b two layers,Cystatin-like,Maltokinase N-terminal domain,Maltokinase N-terminal domain,NO_F_NAME
4980.1.1.0,alpha superhelices,Middle domain of Hypothetical protein MPN330,Middle domain of Hypothetical protein MPN330,Middle domain of Hypothetical protein MPN330,NO_F_NAME
4979.1.1.0,alpha arrays,C-terminal domain of Hypothetical protein MPN330-like,C-terminal domain of Hypothetical protein MPN330,C-terminal domain of Hypothetical protein MPN330,NO_F_NAME
375.6.1.0,few secondary structure elements,Rubredoxin-like,FlhC-like,FlhC-like,NO_F_NAME
3883.1.1.0,alpha bundles,CDP-alcohol phosphotransferase helical bundle domain,CDP-alcohol phosphotransferase helical bundle domain,CDP-alcohol phosphotransferase helical bundle domain,NO_F_NAME
230.2.1.0,a+b two layers,T-fold,Ribosomal protein S3-C,Ribosomal protein S3-C,NO_F_NAME
1147.1.1.0,alpha bundles,RNA polymerase II elongation factor ELL2 C-terminal domain,RNA polymerase II elongation factor ELL2 C-terminal domain,RNA polymerase II elongation factor ELL2 C-terminal domain,NO_F_NAME
904.2.1.0,few secondary structure elements,B-box zinc-binding domain-like,UBR box,UBR box,NO_F_NAME
6039.1.1.0,few secondary structure elements,CLIP domain,CLIP domain,CLIP domain,NO_F_NAME
3772.1.1.0,beta sandwiches,Putative anti-sigma factor BDI_1681 N-terminal domain,Putative anti-sigma factor BDI_1681 N-terminal domain,Putative anti-sigma factor BDI_1681 N-terminal domain,NO_F_NAME
4144.1.1.0,alpha duplicates or obligate multimers,YejL-like,YejL-like,YejL-like,NO_F_NAME
1002.1.1.0,alpha complex topology,Fluoride ion channel,Fluoride ion channel,Fluoride ion channel,NO_F_NAME
222.2.1.0,a+b two layers,Thioesterase/thiol ester dehydrase-isomerase-like,Insertion domain in thioesterase,Insertion domain in thioesterase,NO_F_NAME
10.26.1.0,beta sandwiches,jelly-roll,Histone H3 binding protein ORF158L,Histone H3 binding protein ORF158L,NO_F_NAME
601.13.1.0,alpha bundles,Four-helical up-and-down bundle,Flagellar export chaperone FliS,Flagellar export chaperone FliS,NO_F_NAME
3405.1.1.0,alpha duplicates or obligate multimers,FkpA dimerization domain-like,FkpA dimerization domain-like,FkpA dimerization domain-like,NO_F_NAME
5071.3.1.0,alpha bundles,cytochrome bc1 complex 11 kDa protein-like,DUF465,DUF465,NO_F_NAME
805.1.1.0,a+b complex topology,"5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain","5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain","5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain",NO_F_NAME
559.1.1.0,alpha duplicates or obligate multimers,"H-NS histone-like proteins, N-terminal domain","H-NS histone-like proteins, N-terminal domain","H-NS histone-like proteins, N-terminal domain",NO_F_NAME
604.10.1.0,alpha bundles,Spectrin repeat-like,"Enzyme IIa from lactose specific PTS, IIa-lac","Enzyme IIa from lactose specific PTS, IIa-lac",NO_F_NAME
3921.1.1.0,alpha complex topology,Na(+)-translocating NADH-quinone reductase subunit D,Na(+)-translocating NADH-quinone reductase subunit D,Na(+)-translocating NADH-quinone reductase subunit D,NO_F_NAME
3099.1.1.0,alpha arrays,Uncharacterized protein CV0237,Uncharacterized protein CV0237,Uncharacterized protein CV0237,NO_F_NAME
3167.1.1.0,a+b two layers,40S ribosomal protein rpS21 (S21e),40S ribosomal protein rpS21 (S21e),40S ribosomal protein rpS21 (S21e),NO_F_NAME
592.6.1.0,alpha arrays,PWI domain-like,Pre-mRNA-splicing helicase BRR2 plug domain,Pre-mRNA-splicing helicase BRR2 plug domain,NO_F_NAME
7572.1.1.0,a/b three-layered sandwiches,Phosphofructokinase C-terminal domain,Phosphofructokinase C-terminal domain,Phosphofructokinase C-terminal domain,NO_F_NAME
3257.1.1.0,a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,Phosphoinositide phosphatase SAC1 N-terminal domain,NO_F_NAME
294.1.1.0,a+b two layers,CI-2 family of serine protease inhibitors-like,CI-2 family of serine protease inhibitors,CI-2 family of serine protease inhibitors,NO_F_NAME
6042.1.1.0,beta duplicates or obligate multimers,N-terminal domain of HCV E1,N-terminal domain of HCV E1,N-terminal domain of HCV E1,NO_F_NAME
255.1.1.0,a+b complex topology,LCCL domain,LCCL domain,LCCL domain,NO_F_NAME
305.2.1.0,a+b two layers,DCoH-like,Pterin-4a-carbinolamine dehydratase (PCD)/dimerization cofactor of HNF1 (DCoH),Pterin-4a-carbinolamine dehydratase (PCD)/dimerization cofactor of HNF1 (DCoH),NO_F_NAME
873.1.1.0,a+b complex topology,H-NOX domain,H-NOX domain,H-NOX domain,NO_F_NAME
60.1.2.0,beta barrels,SPOC domain-like,SPOC domain-related,Ku70/80 subunit middle domain,NO_F_NAME
109.52.1.0,alpha superhelices,Repetitive alpha hairpins,FRIGIDA flowering-time regulator,FRIGIDA flowering-time regulator,NO_F_NAME
304.125.1.0,a+b two layers,Alpha-beta plaits,ferredoxin-like domain in Api92-like proteins,ferredoxin-like domain in Api92-like proteins,NO_F_NAME
3640.1.1.0,alpha duplicates or obligate multimers,Minor ampullate fibroin 1 C-terminal domain,Minor ampullate fibroin 1 C-terminal domain,Minor ampullate fibroin 1 C-terminal domain,NO_F_NAME
3347.1.1.0,beta meanders,Uncharacterized protein BF3112,Uncharacterized protein BF3112,Uncharacterized protein BF3112,NO_F_NAME
221.1.5.0,a+b two layers,beta-Grasp,Ubiquitin-related,Chemotaxis inhibitory protein CHIPS,NO_F_NAME
547.1.1.0,alpha duplicates or obligate multimers,Glutamyl tRNA-reductase dimerization domain,Glutamyl tRNA-reductase dimerization domain,Glutamyl tRNA-reductase dimerization domain,NO_F_NAME
3469.1.1.0,extended segments,Ubiquitin-binding motif (UBM),Ubiquitin-binding motif (UBM),Ubiquitin-binding motif (UBM),NO_F_NAME
563.1.1.0,alpha bundles,ATPD N-terminal domain-like,N-terminal domain of the delta subunit of the F1F0-ATP synthase,N-terminal domain of the delta subunit of the F1F0-ATP synthase,NO_F_NAME
3957.1.1.0,a+b two layers,EKC/KEOPS complex subunit GON7,EKC/KEOPS complex subunit GON7,EKC/KEOPS complex subunit GON7,NO_F_NAME
4336.1.1.0,alpha duplicates or obligate multimers,YheA/YmcA-like,YheA/YmcA-like,YheA/YmcA-like,NO_F_NAME
284.1.2.0,a+b two layers,FKBP-like,FKBP-like,Conserved carboxy-terminal domain of oxidative-stress-responsive kinase 1-like  kinases,NO_F_NAME
4312.2.1.0,a+b two layers,RelE-like,YaeB-like,YaeB-like,NO_F_NAME
912.1.1.0,few secondary structure elements,HIV-1 VPU cytoplasmic domain,HIV-1 VPU cytoplasmic domain,HIV-1 VPU cytoplasmic domain,NO_F_NAME
4051.1.1.0,a+b two layers,a+b domain in Capz,a+b domain in Capz,a+b domain in Capz,NO_F_NAME
7501.1.1.0,a/b three-layered sandwiches,Dihydrofolate reductases,Dihydrofolate reductases,Dihydrofolate reductases,NO_F_NAME
3854.1.1.0,alpha duplicates or obligate multimers,Spore germination protein GerD,Spore germination protein GerD,Spore germination protein GerD,NO_F_NAME
3544.1.1.0,extended segments,Small envelope protein M,Small envelope protein M,Small envelope protein M,NO_F_NAME
610.1.1.0,alpha arrays,ERP29 C domain-like,ERP29 C domain-like,ERP29 C domain-like,NO_F_NAME
633.8.1.0,alpha bundles,Bromodomain-like,MAST3 pre-PK domain-like,MAST3 pre-PK domain-like,NO_F_NAME
353.1.1.0,few secondary structure elements,Plant proteinase inhibitors,Plant proteinase inhibitors,Plant proteinase inhibitors,NO_F_NAME
633.18.1.0,alpha bundles,Bromodomain-like,ExoU toxin C-terminal domain,ExoU toxin C-terminal domain,NO_F_NAME
3100.1.1.0,extended segments,Synaptobrevin,Synaptobrevin,Synaptobrevin,NO_F_NAME
611.11.1.0,alpha bundles,N-cbl like,Plasmodium host cell traversal protein SPECT1,Plasmodium host cell traversal protein SPECT1,NO_F_NAME
173.1.1.0,alpha arrays,Uteroglobin-like,Uteroglobin-like,Uteroglobin-like,NO_F_NAME
7064.1.1.0,alpha bundles,Transmembrane domain of VIT1,Transmembrane domain of VIT1,Transmembrane domain of VIT1,NO_F_NAME
3949.1.1.0,alpha arrays,tRNA delta(2)-isopentenylpyrophosphate transferase helical insertion domain,tRNA delta(2)-isopentenylpyrophosphate transferase helical insertion domain,tRNA delta(2)-isopentenylpyrophosphate transferase helical insertion domain,NO_F_NAME
377.7.1.0,few secondary structure elements,Glucocorticoid receptor-like,82 prophage-derived uncharacterized protein ybcO,82 prophage-derived uncharacterized protein ybcO,NO_F_NAME
4203.1.1.0,few secondary structure elements,HSP33 redox switch-like,HSP33 redox switch-like,HSP33 redox switch-like,NO_F_NAME
622.2.1.0,alpha bundles,YvfG-like,YvfG-like,YvfG-like,NO_F_NAME
254.1.1.0,a+b two layers,Prion-like,Prion-like,Prion-like,NO_F_NAME
878.1.1.0,a+b two layers,Hypothetical protein MTH677,Hypothetical protein MTH677,Hypothetical protein MTH677,NO_F_NAME
7585.1.1.0,a/b three-layered sandwiches,Rossmann-like domains in Sec1/munc18-like proteins,Rossmann-like domains in Sec1/munc18-like proteins,Rossmann-like domains in Sec1/munc18-like proteins,NO_F_NAME
4015.1.1.0,alpha complex topology,alpha-helical domain in sec1/munc18-like (SM) proteins,alpha-helical domain in sec1/munc18-like (SM) proteins,alpha-helical domain in sec1/munc18-like (SM) proteins,NO_F_NAME
6140.1.1.0,alpha superhelices,Cdc45-Binding Domain in Sld3/Treslin,Cdc45-Binding Domain in Sld3/Treslin,Cdc45-Binding Domain in Sld3/Treslin,NO_F_NAME
529.1.1.0,few secondary structure elements,Anaphylotoxins (complement system),Anaphylotoxins (complement system),Anaphylotoxins (complement system),NO_F_NAME
7588.1.1.0,a/b three-layered sandwiches,NadA-like/4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NadA-like/4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NadA-like/4-hydroxy-3-methylbut-2-enyl diphosphate reductase,NO_F_NAME
7051.1.1.0,alpha arrays,C-terminal domain of Npl4,C-terminal domain of Npl4,C-terminal domain of Npl4,NO_F_NAME
5039.1.1.0,alpha bundles,Cytochrome c oxidase subunit III-like,Cytochrome c oxidase subunit III-like,Cytochrome c oxidase subunit III-like,NO_F_NAME
3166.1.1.0,alpha arrays,60S ribosomal protein rpL36 (L36e),60S ribosomal protein rpL36 (L36e),60S ribosomal protein rpL36 (L36e),NO_F_NAME
605.3.1.0,alpha duplicates or obligate multimers,ROP-like,"Nonstructural protein ns2, Nep, M1-binding domain","Nonstructural protein ns2, Nep, M1-binding domain",NO_F_NAME
604.22.1.0,alpha bundles,Spectrin repeat-like,tubulin binding cofactor C N-terminal domain,tubulin binding cofactor C N-terminal domain,NO_F_NAME
3940.1.1.0,a+b two layers,Spliceosomal helicase Aquarius insert domain,Spliceosomal helicase Aquarius insert domain,Spliceosomal helicase Aquarius insert domain,NO_F_NAME
4320.1.1.0,alpha superhelices,Taf5 N-terminal domain-like,Taf5 N-terminal domain-like,Taf5 N-terminal domain-like,NO_F_NAME
101.1.16.0,alpha arrays,HTH,HTH,"Ribosomal protein L11, C-terminal domain",NO_F_NAME
604.26.1.0,alpha bundles,Spectrin repeat-like,Bag6-BAG,Bag6-BAG,NO_F_NAME
611.1.1.0,alpha bundles,N-cbl like,"Transferrin receptor ectodomain, C-terminal domain","Transferrin receptor ectodomain, C-terminal domain",NO_F_NAME
3311.1.1.0,alpha arrays,Uncharacterized protein CV_1783,Uncharacterized protein CV_1783,Uncharacterized protein CV_1783,NO_F_NAME
3861.1.1.0,alpha bundles,Mitochondrial translocator protein (TSPO),Mitochondrial translocator protein (TSPO),Mitochondrial translocator protein (TSPO),NO_F_NAME
3628.1.1.0,a+b complex topology,Transcription factor tau 60 kDa subunit,Transcription factor tau 60 kDa subunit,Transcription factor tau 60 kDa subunit,NO_F_NAME
3220.1.1.0,alpha complex topology,ISWI one complex protein 3,ISWI one complex protein 3,ISWI one complex protein 3,NO_F_NAME
2004.1.3.0,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,"Pyruvate-ferredoxin oxidoreductase, PFOR, domain III",NO_F_NAME
7060.1.1.0,alpha arrays,ELMO domain,ELMO domain,ELMO domain,NO_F_NAME
3863.1.1.0,beta barrels,Virulence associated protein B (Vapb),Virulence associated protein B (Vapb),Virulence associated protein B (Vapb),NO_F_NAME
3720.1.1.0,alpha bundles,Receptor activity-modifying protein (RAMP),Receptor activity-modifying protein (RAMP),Receptor activity-modifying protein (RAMP),NO_F_NAME
5000.6.1.0,alpha arrays,Toxins' membrane translocation domains,Tethering factor for nuclear proteasome cut8,Tethering factor for nuclear proteasome cut8,NO_F_NAME
3745.1.1.0,alpha bundles,Sodium/Calcium exchanger,Sodium/Calcium exchanger,Sodium/Calcium exchanger,NO_F_NAME
304.154.1.0,a+b two layers,Alpha-beta plaits,Regulator of polyketide synthase expression N-terminal domain,Regulator of polyketide synthase expression N-terminal domain,NO_F_NAME
10.36.1.0,beta sandwiches,jelly-roll,hypothetical protein lpg0956 N-terminal domain,hypothetical protein lpg0956 N-terminal domain,NO_F_NAME
1141.1.1.0,alpha arrays,Glycosyl transferase TarS linker domain,Glycosyl transferase TarS linker domain,Glycosyl transferase TarS linker domain,NO_F_NAME
101.31.1.0,alpha arrays,HTH,Bacteriophage Sf6 terminase small subunit,Bacteriophage Sf6 terminase small subunit,NO_F_NAME
5071.1.1.0,alpha bundles,cytochrome bc1 complex 11 kDa protein-like,Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),Non-heme 11 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase),NO_F_NAME
633.13.1.0,alpha bundles,Bromodomain-like,DsbB-like,DsbB-like,NO_F_NAME
3570.1.1.0,a+b two layers,FAM3 superfamily,FAM3 superfamily,FAM3 superfamily,NO_F_NAME
6070.1.1.0,few secondary structure elements,Sortilin C-terminal domain,Sortilin C-terminal domain,Sortilin C-terminal domain,NO_F_NAME
3130.1.1.0,alpha arrays,Helical box domain of E3 ubiquitin-protein ligase HECW1,Helical box domain of E3 ubiquitin-protein ligase HECW1,Helical box domain of E3 ubiquitin-protein ligase HECW1,NO_F_NAME
3926.1.1.0,alpha bundles,V-type proton ATPase subunit D,V-type proton ATPase subunit D,V-type proton ATPase subunit D,NO_F_NAME
3617.1.1.0,a+b three layers,Thioredoxin-like domain in RNase E,Thioredoxin-like domain in RNase E,Thioredoxin-like domain in RNase E,NO_F_NAME
245.2.1.0,a+b two layers,Ribonuclease PH domain 2-like,YbaB,YbaB,NO_F_NAME
587.1.1.0,alpha arrays,Nuclear receptor coactivator CBP/p300 ibid domain,Nuclear receptor coactivator CBP/p300 ibid domain,Nuclear receptor coactivator CBP/p300 ibid domain,NO_F_NAME
7538.1.1.0,a/b three-layered sandwiches,Hypothetical protein MT938 (MTH938),Hypothetical protein MT938 (MTH938),Hypothetical protein MT938 (MTH938),NO_F_NAME
1126.1.1.0,extended segments,"Mitochondrial complex I, MWFE subunit","Mitochondrial complex I, MWFE subunit","Mitochondrial complex I, MWFE subunit",NO_F_NAME
10.11.1.0,beta sandwiches,jelly-roll,"Thiamin pyrophosphokinase, substrate-binding domain","Thiamin pyrophosphokinase, substrate-binding domain",NO_F_NAME
601.25.1.0,alpha bundles,Four-helical up-and-down bundle,TrmE connector domain,TrmE connector domain,NO_F_NAME
327.2.1.0,a+b two layers,Alpha-lytic protease prodomain-like,BolA-like,BolA-like,NO_F_NAME
6028.1.1.0,alpha bundles,Ribosome modulation factor,Ribosome modulation factor,Ribosome modulation factor,NO_F_NAME
4270.1.1.0,alpha bundles,N-terminal domain of Hypothetical protein MPN330,N-terminal domain of Hypothetical protein MPN330,N-terminal domain of Hypothetical protein MPN330,NO_F_NAME
3223.1.1.0,beta sandwiches,Amiloride-sensitive cation channel 2,Amiloride-sensitive cation channel 2,Amiloride-sensitive cation channel 2,NO_F_NAME
377.13.1.0,few secondary structure elements,Glucocorticoid receptor-like,Primase zinc finger,Primase zinc finger,NO_F_NAME
165.3.1.0,alpha duplicates or obligate multimers,Dimerisation interlock,Phenylalanine zipper,Phenylalanine zipper,NO_F_NAME
604.17.1.0,alpha bundles,Spectrin repeat-like,MTH_863 C-terminal domain-like,MTH_863 C-terminal domain-like,NO_F_NAME
833.1.1.0,a+b duplicates or obligate multimers,Pepsin inhibitor-3,Pepsin inhibitor-3,Pepsin inhibitor-3,NO_F_NAME
1.16.1.0,beta barrels,cradle loop barrel,Baseplate wedge protein gp6 domain I,Baseplate wedge protein gp6 domain I,NO_F_NAME
242.1.1.0,a+b two layers,Homing endonucleases-like,Homing endonucleases,Homing endonucleases,NO_F_NAME
3736.1.1.0,alpha superhelices,NLRC4 helical domain HD2,NLRC4 helical domain HD2,NLRC4 helical domain HD2,NO_F_NAME
4044.1.1.0,alpha bundles,Helical bundle domain in prismane-like proteins,Helical bundle domain in prismane-like proteins,Helical bundle domain in prismane-like proteins,NO_F_NAME
2501.1.1.0,a/b three-layered sandwiches,Peptidyl-tRNA hydrolase II,Peptidyl-tRNA hydrolase II,Peptidyl-tRNA hydrolase II,NO_F_NAME
4187.1.1.0,a+b two layers,NosL/MerB-like,NosL/MerB-like,NosL/MerB-like,NO_F_NAME
1005.1.1.0,alpha arrays,Cell-shape determining Csd6 N-terminal dimerization domain,Cell-shape determining Csd6 N-terminal dimerization domain,Cell-shape determining Csd6 N-terminal dimerization domain,NO_F_NAME
370.1.1.0,few secondary structure elements,TB module/8-cys domain,TB module/8-cys domain,TB module/8-cys domain,NO_F_NAME
3944.1.1.0,alpha duplicates or obligate multimers,DNTTIP1 dimerisation domain,DNTTIP1 dimerisation domain,DNTTIP1 dimerisation domain,NO_F_NAME
7566.1.1.0,a/b three-layered sandwiches,HflX family GTPase N-terminal domain,HflX family GTPase N-terminal domain,HflX family GTPase N-terminal domain,NO_F_NAME
3159.1.1.0,extended segments,N-terminal domain of RFX5,N-terminal domain of RFX5,N-terminal domain of RFX5,NO_F_NAME
827.1.1.0,a+b two layers,Integrin beta tail domain,Integrin beta tail domain,Integrin beta tail domain,NO_F_NAME
917.1.1.0,few secondary structure elements,Lin12/Notch repeat,Lin12/Notch repeat,Lin12/Notch repeat,NO_F_NAME
3157.1.1.0,alpha arrays,Kinetoplastid membrane protein 11,Kinetoplastid membrane protein 11,Kinetoplastid membrane protein 11,NO_F_NAME
135.1.1.0,alpha arrays,"Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain","Transducin (alpha subunit), insertion domain",NO_F_NAME
10.21.1.0,beta sandwiches,jelly-roll,Jelly-roll domain in ADAMTS13,Jelly-roll domain in ADAMTS13,NO_F_NAME
872.2.1.0,a+b two layers,Dodecin subunit-like,Amyloid beta a4 protein copper binding domain (domain 2),Amyloid beta a4 protein copper binding domain (domain 2),NO_F_NAME
306.8.1.0,a+b two layers,Glucose permease domain IIB-like,TM1457-like,TM1457-like,NO_F_NAME
607.1.1.0,alpha arrays,Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain,Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain,Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain,NO_F_NAME
6169.1.1.0,extended segments,Transmembrane segment of lysosome-associated membrane glycoprotein 2,Transmembrane segment of lysosome-associated membrane glycoprotein 2,Transmembrane segment of lysosome-associated membrane glycoprotein 2,NO_F_NAME
10.1.2.125,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
639.1.1.0,alpha arrays,HHA-like,Hemolysin expression modulating protein HHA,Hemolysin expression modulating protein HHA,NO_F_NAME
3396.1.1.0,extended segments,HIG1 domain family member 1A,HIG1 domain family member 1A,HIG1 domain family member 1A,NO_F_NAME
3878.1.1.0,extended segments,Multidrug efflux pump accessory protein AcrZ,Multidrug efflux pump accessory protein AcrZ,Multidrug efflux pump accessory protein AcrZ,NO_F_NAME
8001.1.1.0,alpha arrays,N-terminal domain of large tumor antigen,N-terminal domain of large tumor antigen,N-terminal domain of large tumor antigen,NO_F_NAME
5090.1.1.0,beta complex topology,"Viral glycoprotein, central and dimerisation domains-like","Viral glycoprotein, central and dimerisation domains","Viral glycoprotein, central and dimerisation domains",NO_F_NAME
3810.1.1.0,alpha duplicates or obligate multimers,Uncharacterized protein YP_510488.1,Uncharacterized protein YP_510488.1,Uncharacterized protein YP_510488.1,NO_F_NAME
3954.1.1.0,alpha arrays,Phosphodiesterase 4 upstream conserved regions (UCR),Phosphodiesterase 4 upstream conserved regions (UCR),Phosphodiesterase 4 upstream conserved regions (UCR),NO_F_NAME
395.1.1.0,few secondary structure elements,Midkine-related,Midkine-related,Midkine-related,NO_F_NAME
881.4.1.0,a+b three layers,Mog1p/PsbP-like,C-terminal domain in sigma-E factor regulatory protein rseB,C-terminal domain in sigma-E factor regulatory protein rseB,NO_F_NAME
383.1.2.0,few secondary structure elements,Defensin-like,Defensin-related,Laterosporulin,NO_F_NAME
611.10.1.0,alpha bundles,N-cbl like,DAXX helical bundle domain,DAXX helical bundle domain,NO_F_NAME
10.1.2.151,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
207.8.1.0,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Stabilizer of iron transporter sufD,Stabilizer of iron transporter sufD,NO_F_NAME
304.113.1.0,a+b two layers,Alpha-beta plaits,"Alpha subunit of glutamate synthase, insertion domain","Alpha subunit of glutamate synthase, insertion domain",NO_F_NAME
3129.1.1.0,few secondary structure elements,PBZ domain,PBZ domain,PBZ domain,NO_F_NAME
5079.1.1.0,alpha duplicates or obligate multimers,Magnesium transporter MgtE membrane domain,Magnesium transporter MgtE membrane domain,Magnesium transporter MgtE membrane domain,NO_F_NAME
3493.1.1.0,extended segments,Photosystem II PsbX protein,Photosystem II PsbX protein,Photosystem II PsbX protein,NO_F_NAME
207.3.1.0,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Insect cysteine-rich antifreeze protein,Insect cysteine-rich antifreeze protein,NO_F_NAME
562.1.1.0,alpha duplicates or obligate multimers,NblA-like (Pfam 04485),NblA-like (Pfam 04485),NblA-like (Pfam 04485),NO_F_NAME
3834.1.1.0,alpha bundles,TcA alpha pore-forming domain,TcA alpha pore-forming domain,TcA alpha pore-forming domain,NO_F_NAME
604.11.1.0,alpha bundles,Spectrin repeat-like,XseB-like,XseB-like,NO_F_NAME
